Title,Platform,sources,scores
Napoleon Dynamite: The Game, PC,,
Narcos: Rise of the Cartels, Xbox 360,,
NCAA Final Four 2004, PSP,,
NFL Tour, PC,,
PDC World Championship Darts 2009, Xbox One,,
Project Root, Wii,,
Racquet Sports, Xbox,,
Red Bull X-Fighters, PC,,
Reservoir Dogs: Bloody Days, Switch,,
Rock of the Dead, PlayStation 2,,
Rodea the Sky Soldier, PlayStation 4,,
Rodea the Sky Soldier, Xbox 360,,
Saw II: Flesh & Blood, Switch,,
Shadow the Hedgehog, PC,,
Smart Bomb, PlayStation 2,,
Sniper: Ghost Warrior, PlayStation 4,,
Soldier of Fortune: Payback, Xbox One,,
Spartacus Legends, 3DS,,
Stop Stress: A Day of Fury, PC,,
Stronghold: Crusader Extreme, PlayStation 2,,
Supercar Street Challenge, Xbox,,
Swashbucklers: Blue vs. Grey, Xbox,,
Tank! Tank! Tank!, PC,,
Tennis World Tour, PSP,,
The Huntsman: Winter's Curse, Wii,,
Top Gear RPM Tuning, Xbox 360,,
Tournament of Legends, Xbox,,
Ugly Americans: Apocalypsegeddon, DS,,
Unlimited Saga, PC,,
Wacky World of Sports, Xbox 360,,
War World, Xbox,,
Without Warning, GameCube,,
Without Warning, PlayStation 4,,
WWE 2K20, DS,,
AeternoBlade II, Wii U,,
Army Men: Sarge's War, PlayStation 3,,
Balan Wonderworld, Xbox 360,,
Beowulf: The Game, PlayStation 4,,
Big Beach Sports, Xbox,,
Big Mutha Truckers 2, Wii,,
Black Stone: Magic & Steel, PC,,
Buffy the Vampire Slayer: Wrath of the Darkhul King, 3DS,,
C.O.R.E., PlayStation 4,,
Chronovolt, PC,,
Combat of Giants: Dinosaurs 3D, Xbox 360,,
Cops 2170: The Power of Law, PlayStation 4,,
Cortex Command, PlayStation 3,,
Crash Time: Autobahn Pursuit, PlayStation 3,,
Dinotopia: The Sunstone Odyssey, DS,,
Discs of Tron, PlayStation 2,,
Empire of Magic, Xbox 360,,
Evolution Skateboarding, PlayStation 4,,
FunTown Mahjong, PC,,
Godzilla: Unleashed, DS,,
Golden Axe: Beast Rider, PlayStation 2,,
Gothic 3: Forsaken Gods, PlayStation 2,,
Hard Rock Casino, Xbox 360,,
Harmonix Music VR, PC,,
"Harry Potter and the Deathly Hallows, Part 2", Xbox,,
Hummer Badlands, Wii U,,
Husk, PlayStation 3,,
Infinity Runner, DS,,
Johnny Kung Fu, PlayStation 4,,
Jonny Moseley Mad Trix, Wii,,
Jurassic Park III: The DNA Factor, Xbox One,,
Last Rebellion, PC,,
Metal Dungeon, PSP,,
Mike Tyson Boxing, DS,,
Mike Tyson Boxing, Xbox 360,,
MilitAnt, PlayStation 3,,
Mindjack, PC,,
MotoGP 08, PlayStation 2,,
Naughty Bear: Panic in Paradise, Xbox,,
NFL QB Club 2001, Xbox 360,,
NPPL Championship Paintball 2009, DS,,
Oddworld: Munch's Oddysee, Xbox 360,,
Of Bird and Cage, Wii,,
Pirates vs Ninjas Dodgeball, PlayStation 4,,
Ridge Racer, PC,,
Salt Lake 2002, Xbox,,
Splat Renegade Paintball, PlayStation 2,,
State of Emergency 2, PC,,
Submersed, PC,,
SunAge, Xbox 360,,
Superman: The Man of Steel, PC,,
Swashbucklers: Blue vs. Grey, Wii,,
Sword of the Stars II: Lords of Winter, PlayStation 2,,
Taxi Chaos, Xbox 360,,
Teenage Mutant Ninja Turtles: Mutants in Manhattan, 3DS,,
Tetris Worlds, Xbox 360,,
The Good Life, PlayStation 2,,
The Sacred Rings, DS,,
The Scourge Project: Episodes 1 and 2, Switch,,
The Uncertain: Light at the End, Wii,,
TMNT: Mutant Melee, Xbox One,,
Tornado, PC,,
TotemBall, PC,,
Vaccine, Wii,,
Waking, PlayStation 2,,
Warriors Orochi 2, PlayStation 3,,
Warriors: Legends of Troy, PlayStation 4,,
Watchmen: The End Is Nigh Part 2, Wii,,
Watchmen: The End Is Nigh Part 2, Switch,,
Yu-Gi-Oh! The Falsebound Kingdom, Xbox One,,
Zoo Tycoon DS, Xbox 360,,
1950s Lawn Mower Kids, Switch,,
Aliens: Colonial Marines, 3DS,,
America's Army: True Soldiers, Wii,,
Asphalt 3D, PC,,
Backyard Wrestling 2: There Goes the Neighborhood, Xbox 360,,
Ben 10: Omniverse, PC,,
Bliss Island, PlayStation 2,,
Bombshell (2016), Xbox,,
Cruis'n Exotica, PlayStation 4,,
Danger Girl, Wii U,,
Dead Alliance, Xbox,,
Dead or Alive Xtreme 3: Fortune, Dreamcast,,
Deadfall Adventures, Switch,,
Devil's Third, Xbox,,
Digimon World Data Squad, PlayStation 4,,
Dynasty Warriors 6, Game Boy Advance,,
ECW Anarchy Rulz, Xbox,,
Enemy Front, Game Boy Advance,,
Enki, PlayStation 3,,
Everreach: Project Eden, Xbox 360,,
Farscape: The Game, Xbox 360,,
Fast Draw Showdown, PSP,,
FIFA 20: Legacy Edition, Xbox,,
Final Fight: Streetwise, Wii,,
Flushed Away, Xbox 360,,
Funk of Titans, DS,,
Furu Furu Park, PC,,
G.I. Joe: The Rise of Cobra, PlayStation 4,,
Gardening Mama 2: Forest Friends, Wii,,
Hatred, PlayStation Vita,,
Hot Wheels: Beat That!, PC,,
Jeremy McGrath Supercross 2000, PlayStation 4,,
Jeremy McGrath Supercross 2000, PlayStation 4,,
John Deere: Harvest in the Heartland, Xbox,,
Justice League Heroes, Xbox 360,,
Justice League: Chronicles, PlayStation,,
Mindjack, PlayStation Vita,,
MLB Slugfest 20-04, Xbox 360,,
Myst, PlayStation 2,,
NBA Live 14, GameCube,,
New Gundam Breaker, PlayStation 2,,
New Rally-X, PlayStation 2,,
Pac-Man Party 3D, PSP,,
Painkiller: Redemption, PlayStation 3,,
PlayStation Move Ape Escape, Switch,,
Power Rangers Super Megaforce, PlayStation 4,,
Quantum Theory, Xbox,,
Rengoku: The Tower of Purgatory, Wii,,
Rise of the Guardians, PC,,
RollerCoaster Tycoon World, Game Boy Advance,,
Six Flags Fun Park, PC,,
Soldner: Secret Wars, GameCube,,
Sonic the Hedgehog, PC,,
Spuds Unearthed, PlayStation 3,,
Super Dungeon Bros, Xbox 360,,
Terminator Salvation, PlayStation 2,,
The Legend of Alon D'ar, PC,,
TMNT: Mutant Melee, PlayStation 2,,
Tron, 3DS,,
Turning Point: Fall of Liberty, DS,,
Will of Steel, DS,,
Word Puzzle, PlayStation 3,,
WWE 2K20, Xbox,,
Zathura, Switch,,
Arcania: The Complete Tale, PC,,
ATV: Quad Power Racing, PlayStation 3,,
Block Factory, Game Boy Advance,,
Brave: A Warrior's Tale, PlayStation 2,,
Clash of the Titans, Xbox 360,,
Contra: Rogue Corps, PlayStation,,
Coraline, Wii U,,
Dino Island, DS,,
Family Party: 30 Great Games, 3DS,,
Fear Effect Sedna, Xbox,,
Final Fight: Streetwise, Xbox 360,,
G.I. Joe: The Rise of Cobra, Game Boy Advance,,
Game Tycoon, Xbox One,,
Ghostbusters: Sanctum of Slime, Xbox,,
Gleamlight, Wii,,
Go! Sports Skydiving, PlayStation 2,,
Hellboy: The Science of Evil, 3DS,,
KURSK, Xbox 360,,
MC Groovz Dance Craze, PlayStation 3,,
Mission: Impossible: Operation Surma, PlayStation 4,,
Nickelodeon Kart Racers, Xbox 360,,
One Piece: Romance Dawn, PC,,
Prison Break: The Conspiracy, PlayStation 4,,
Rock Revolution, PC,,
Smashing Drive, PSP,,
Spider-Man 2: The Game, PlayStation 3,,
SPRay, PlayStation 3,,
Star Trek The Video Game, PlayStation 2,,
Star Trek: Shattered Universe, PlayStation 3,,
Steel Horizon, PlayStation 4,,
Stranger, Switch,,
Tennis World Tour, PlayStation 2,,
The Elder Scrolls: Blades, PlayStation 3,,
The Sopranos: Road to Respect, PlayStation 4,,
Time and Eternity, PC,,
Touhou Kobuto V: Burst Battle, PC,,
Werewolf: The Apocalypse - Earthblood, DS,,
7554, DS,,
007 Legends, Wii,,
101-in-1 Sports Party Megamix, Xbox 360,,
25 to Life, PlayStation 4,,
Alien Blast: The Encounter, Xbox 360,,
American Idol, Xbox 360,,
Arcania: Fall of Setarrif, Nintendo 64,,
Brigade E5: New Jagged Union, Wii,,
Clash of the Titans, PlayStation 4,,
Cyberball 2072, DS,,
Damnation, Xbox One,,
Deca Sports 3, Game Boy Advance,,
Dollhouse, PlayStation 2,,
Duke Nukem: Manhattan Project, PSP,,
Emergency Heroes, PC,,
GT Pro Series, 3DS,,
Gungrave VR, Xbox 360,,
"Harry Potter and the Deathly Hallows, Part 1", Xbox,,
Iron Man 2, PlayStation 4,,
Iron Man 2, PC,,
JASF: Jane's Advanced Strike Fighters, PlayStation,,
Legacy: Dark Shadows, Xbox 360,,
Lets Fish! Hooked On, 3DS,,
Mall Tycoon, PlayStation 3,,
Mana Khemia: Student Alliance, Xbox,,
Nickelodeon Kart Racers, Xbox 360,,
One Way Trip, PlayStation 3,,
Planet of the Apes, PlayStation 3,,
Rally Challenge 2000, Xbox 360,,
Rapala Tournament Fishing!, Xbox One,,
Robot Arena, PlayStation 3,,
Rugby 18, PlayStation,,
Star Trek: Shattered Universe, Dreamcast,,
Street Power Soccer, Game Boy Advance,,
Street Supremacy, PlayStation 2,,
Taito Legends Power-Up, PlayStation 4,,
Things on Wheels, DS,,
Timeline, Wii U,,
Transformers: Cybertron Adventures, PlayStation 4,,
Turtle Tale, PlayStation 4,,
Wacky Races: Crash & Dash, PC,,
Way of the Dogg, 3DS,,
Wayward Manor, PlayStation 3,,
WWII Aces, PlayStation 3,,
Ace Banana, PlayStation 3,,
Adventure Time: Explore the Dungeon Because I DON'T KNOW!, Switch,,
Alekhine's Gun, Xbox 360,,
Around the World in 80 Days, PC,,
Brain Boost: Gamma Wave, PC,,
Chronus Arc, PC,,
Delta Force: Xtreme 2, PlayStation 3,,
Dragon Ball Z: Taiketsu, Xbox,,
DRIV3R, Switch,,
Ducati World Racing Challenge, 3DS,,
Emergency Mayhem, PlayStation 4,,
Eureka Seven Vol. 2: The New Vision, Xbox 360,,
Family Guy: Back to the Multiverse, DS,,
Farming Simulator, PlayStation 4,,
Freedom: First Resistance, Switch,,
Freestyle Street Soccer, PlayStation 3,,
Inner Chains, Xbox One,,
Looney Tunes: Acme Arsenal, PSP,,
Made Man: Confessions of the Family Blood, Xbox 360,,
MotionSports, Xbox One,,
MTV Sports: Skateboarding featuring Andy Macdonald, PlayStation 3,,
Naval Assault: The Killing Tide, PlayStation 2,,
Painkiller: Hell & Damnation, Wii,,
Real Steel, PC,,
Scourge: Outbreak, PlayStation 2,,
Screwjumper!, GameCube,,
Soldier Elite, PlayStation 2,,
Space Raiders, Xbox 360,,
Tamarin, PlayStation,,
Tank Beat, PlayStation 4,,
The Chaos Engine (2013), Xbox,,
The Warriors: Street Brawl, DS,,
Underground Pool, Xbox 360,,
Xiaolin Showdown, Wii,,
Zatch Bell! Mamodo Fury, PlayStation 4,,
25 to Life, PSP,,
25 to Life, Xbox 360,,
Air Raid: This Is Not a Drill!, Wii,,
Alone in the Dark, Xbox,,
Anacapri: The Dream, PlayStation Vita,,
Army Men: Green Rogue, Xbox,,
Brain Boost: Beta Wave, Wii,,
Cartoon Network Racing, PlayStation 4,,
Charlie and the Chocolate Factory, PlayStation 4,,
Coffee Tycoon, Wii,,
Deep Black: Reloaded, Wii,,
Doctor Who: The Eternity Clock, DS,,
Drive Girls, Xbox 360,,
Family Guy: Back to the Multiverse, Wii,,
Hello Neighbor, Wii,,
Inkheart, PlayStation 3,,
Ju-on: The Grudge, PlayStation 4,,
"Monsters, Inc. Scream Arena", PC,,
Montague's Mount, Wii,,
Onechanbara: Bikini Samurai Squad, PC,,
Pacific Rim, PlayStation 4,,
Pocket Racers, PC,,
R.I.P.D. The Game, PSP,,
Remothered: Broken Porcelain, Xbox 360,,
Resident Evil: Survivor, PC,,
RollerCoaster Tycoon 3D, Nintendo 64,,
Senran Kagura Reflexions, PC,,
Star Wars: Flight of the Falcon, Switch,,
The Deer God, PlayStation 2,,
The Mummy: Tomb of the Dragon Emperor, PSP,,
The Polar Express, PC,,
Tony Hawk's Motion, 3DS,,
Tony Hawk's Pro Skater 5, Xbox 360,,
Turn It Around, PlayStation 3,,
Ultimate Beach Soccer, Xbox 360,,
Universal Studios Theme Parks Adventure, PlayStation 3,,
Wacky Races: Crash & Dash, PlayStation 4,,
XIII (Remake), Wii,,
Attack of the Movies 3D, DS,,
Battleship, PC,,
Burnout Legends, Wii,,
Dead or Alive Paradise, PC,,
Motocross Mania 3, PC,,
Painkiller: Resurrection, GameCube,,
Putty Squad, Xbox 360,,
Combat Medic: Special Operations, PC,,
Megamind: Ultimate Showdown, Xbox 360,,
Power Rangers Megaforce, 3DS,,
