Title,Platform,sources,scores
GunGriffon: Allied Strike, PlayStation 4,,
Half Past Fate: Romantic Distancing, DS,,
Hard to be a God, PlayStation 3,,
Haze, PlayStation 4,,
Hercules: The Legendary Journeys, PSP,,
Hoshigami: Ruining Blue Earth Remix, Wii,,
Hot Pixel, PlayStation 2,,
Humans Must Answer, PlayStation 2,,
Hyperdimension Neptunia Victory, PSP,,
I of the Dragon, Wii,,
Ice Age: Scrat's Nutty Adventure, Game Boy Advance,,
IGPX: Immortal Grand Prix, Xbox One,,
Insecticide, PlayStation 2,,
Jaws Unleashed, Game Boy Advance,,
Judge Dredd: Dredd VS Death, PSP,,
Kinect Star Wars, GameCube,,
Legends of Wrestling, PlayStation 4,,
Lost: Via Domus, Game Boy Advance,,
Magnetic: Cage Closed, PlayStation 3,,
Mario & Sonic at the Sochi 2014 Olympic Winter Games, PC,,
Marvel Super Hero Squad: The Infinity Gauntlet, Xbox Series X,,
Medal of Honor: Warfighter, Game Boy Advance,,
Medal of Honor: Warfighter, 3DS,,
Mega Man Star Force 2: Zerker x Ninja, PlayStation 3,,
Mega Man Star Force 2: Zerker x Saurian, PC,,
Metal Wolf Chaos XD, DS,,
Might and Magic IX, Switch,,
Mighty No. 9, Xbox 360,,
Monochroma, Wii U,,
Monster Madness: Battle for Suburbia, PlayStation 2,,
Mugen Souls, DS,,
Myst III: Exile, Xbox One,,
Naruto Shippuden: Ninja Destiny 2, Xbox 360,,
Naruto: Ninja Council 2, Xbox 360,,
NCAA Final Four 2001, Wii U,,
NHL FaceOff 2003, PC,,
Ninjamurai, PlayStation 4,,
Order Up!!, PlayStation Vita,,
Othello, PC,,
Pokemon Channel, PlayStation 2,,
Rabbids Travel in Time 3D, Xbox,,
RLH: Run Like Hell, PlayStation Vita,,
Robocraft Infinity, PC,,
Rugby 2004, Dreamcast,,
Rugby World Cup 2011, PSP,,
Rune Factory: Tides of Destiny, PlayStation 4,,
Rush, PC,,
Saint Seiya: Brave Soldiers, Xbox 360,,
Salt Lake 2002, Switch,,
Samurai Warriors 2: Empires, PlayStation 4,,
Samurai Warriors 3, PC,,
Scooby-Doo! Mystery Mayhem, PC,,
Sense: A Cyberpunk Ghost Story, PlayStation 2,,
Shifting World, PlayStation 4,,
Shinobido 2: Revenge of Zen, GameCube,,
Showdown: Legends of Wrestling, PC,,
Shrek 2, PlayStation 3,,
Smash Court Tennis 3, DS,,
Sniper: Ghost Warrior, PlayStation 5,,
Sniper: Ghost Warrior 3, Xbox 360,,
Space Channel 5: Ulala's Cosmic Attack, DS,,
Space Hulk: Deathwing, PlayStation Vita,,
SpellForce 2: Faith in Destiny, Xbox 360,,
SportsBarVR, Game Boy Advance,,
Start the Party!, PlayStation 4,,
Suicide Guy, PlayStation,,
Super Monkey Ball 3D, PlayStation 4,,
Surf Rocket Racers, Xbox One,,
Tecmo Classic Arcade, Switch,,
Teenage Mutant Ninja Turtles (2003), Nintendo 64,,
The Amazing Spider-Man, PC,,
The Assembly, 3DS,,
The Bradwell Conspiracy, Xbox 360,,
The Cursed Crusade, Xbox,,
The Great Escape, Xbox One,,
The Incredibles, PlayStation 4,,
The Incredibles, PSP,,
The Park, PlayStation 3,,
The Seven Deadly Sins: Knights of Britannia, PlayStation 2,,
The Simpsons: Road Rage, PlayStation 3,,
The War of the Worlds, PC,,
Thor: God of Thunder, PC,,
Titan Quest, DS,,
Topatoi: Spinning Through The Worlds, Xbox 360,,
Totaled!, PC,,
Touhou Genso Rondo: Bullet Ballet, Xbox 360,,
Transformers: The Game, DS,,
Trinity: Souls of Zill O'll, Xbox One,,
Trioncube, PlayStation 3,,
Under the Skin, DS,,
Virtua Quest, Xbox One,,
VR Ping Pong Pro, PC,,
Warhammer Quest, PlayStation 2,,
Warhammer: Battle for Atluma, Switch,,
Warhammer: Battle March, GameCube,,
Watchmen: The End Is Nigh, Wii,,
WWE Crush Hour, Switch,,
WWE Survivor Series, PC,,
X2: Wolverine's Revenge, PSP,,
You're in the Movies, Wii U,,
Zack Zero, Xbox One,,
Zapper, PlayStation 3,,
007: Quantum of Solace, PlayStation 2,,
2Dark, Xbox 360,,
A Valley Without Wind, Dreamcast,,
Ace Combat Infinity, PC,,
Achron, Xbox,,
Army Men: Sarge's Heroes 2, Switch,,
Army of Two: The Devil's Cartel, PC,,
Astro Boy, PC,,
Backbreaker, PC,,
Battle of Europe, PSP,,
Bitlogic - A Cyberpunk Arcade Adventure, Game Boy Advance,,
Black Mirror, PlayStation 2,,
BMX XXX, PlayStation 3,,
Boogie Bunnies, PlayStation 2,,
Buzz Lightyear of Star Command, PlayStation 3,,
Carnivores: Ice Age, Switch,,
Cars Race-O-Rama, PlayStation 4,,
Cast of the Seven Godsends, Xbox 360,,
Combat Elite: WWII Paratroopers, PC,,
Create, PlayStation 4,,
Creepy Tale, Xbox 360,,
Crime Scene, Game Boy Advance,,
CSI: Miami, Xbox 360,,
Dakar 18, Xbox 360,,
Dangerous Golf, GameCube,,
Dead to Rights II, PlayStation 4,,
Dead to Rights: Reckoning, PlayStation 3,,
Despicable Me: The Game - Minion Mayhem, PlayStation 4,,
Die Hard: Nakatomi Plaza, Xbox 360,,
Die Hard: Vendetta, Xbox One,,
Disney Sing It, Xbox One,,
Disney*Pixar WALL-E, Xbox One,,
Disney's Lilo & Stitch, PlayStation 4,,
Dragon Age: Origins - Return to Ostagar, DS,,
Dream Trigger 3D, GameCube,,
Dynasty Warriors: Gundam 2, Switch,,
E.T. Armies, Xbox One,,
Earthfall, Xbox 360,,
El Matador, PlayStation,,
Elevator Action Deluxe, DS,,
FaceBreaker, PC,,
Fallen Legion: Revenants, DS,,
Farming Simulator 15, 3DS,,
Feather, PlayStation 3,,
Fighter Destiny 2, PSP,,
"Flower, Sun, and Rain", PlayStation 3,,
Fret Nice, GameCube,,
Frogger 3D, GameCube,,
Frogger: Ancient Shadow, Xbox 360,,
Gauntlet Dark Legacy, PC,,
Gemini: Heroes Reborn, Xbox 360,,
Ghost Rider, PC,,
Gods: Lands of Infinity, PlayStation 2,,
GUNS UP!, Xbox 360,,
Hamsterdam, PlayStation Vita,,
Harvest Moon: One World, GameCube,,
Homefront: The Revolution, Switch,,
Hot Wheels Velocity X, PlayStation 3,,
Hunting Simulator 2, DS,,
Hyperdimension Neptunia PP: Producing Perfection, PlayStation 3,,
I Heart Geeks!, Xbox 360,,
Import Tuner Challenge, PlayStation 4,,
In Space We Brawl, Game Boy Advance,,
Iron Man 2, PC,,
Jagged Alliance: Rage!, PlayStation,,
Jumping Joe & Friends, PlayStation 3,,
Jurassic Park: The Game, GameCube,,
Kholat, GameCube,,
King Arthur: Fallen Champions, Xbox One,,
Kingdom Come: Deliverance - From The Ashes, PlayStation 4,,
Knack, PC,,
Knee Deep, 3DS,,
Legend of Kay Anniversary, PlayStation 2,,
Legendary Eleven, PC,,
LEGO The Lord of the Rings, Xbox,,
Lost in Blue: Shipwrecked, PlayStation Vita,,
Mario Party Advance, PC,,
Marvel Nemesis: Rise of the Imperfects, Xbox 360,,
Mega Man: Battle Chip Challenge, PSP,,
Minesweeper Flags, Switch,,
Minority Report: Everybody Runs, Xbox 360,,
Minority Report: Everybody Runs, PC,,
Moebius: Empire Rising, Xbox One,,
NBA Ballers: Chosen One, PlayStation 2,,
NBA ShootOut 2001, PlayStation 4,,
NCAA March Madness 2002, PlayStation 4,,
Night at the Museum: Battle of the Smithsonian, PC,,
Night Watch, Xbox 360,,
Ninja Reflex, 3DS,,
Nippon Marathon, PlayStation Vita,,
No Time to Explain, DS,,
Orphen: Scion of Sorcery, PC,,
OVERPASS, DS,,
Pac-Man Fever, PC,,
Pirates of the Caribbean: At World's End, Switch,,
Pokemon Dream Radar, Xbox 360,,
Pokemon Mystery Dungeon: Explorers of Sky, PlayStation 3,,
POSTAL Redux, Xbox,,
Radiation Island, Xbox One,,
Rainbow Islands Revolution, Wii,,
Real Pool, PC,,
Reality Fighters, PlayStation 2,,
Reign of Fire, 3DS,,
Reign of Fire, DS,,
RIDE, PlayStation 2,,
Rise of Nightmares, PC,,
Rise of the Argonauts, Game Boy Advance,,
River King: Mystic Valley, Xbox 360,,
Road to Guangdong, PlayStation 2,,
RocketBowl, Game Boy Advance,,
Rush Bros, GameCube,,
Sadame, PlayStation Vita,,
Scooby Doo! Who's Watching Who?, PC,,
Scooby-Doo! Mystery Mayhem, PlayStation 4,,
Shaman King: Power of Spirit, PC,,
Smashbox Arena, Switch,,
Sneak King, Xbox One,,
Son of Nor, Xbox 360,,
Sonic and the Black Knight, PlayStation,,
Sonic Shuffle, PSP,,
Sonic Unleashed, PC,,
Space Channel 5 VR: Kinda Funky News Flash, 3DS,,
Spikeout: Battle Street, PC,,
Spirit Camera: The Cursed Memoir, Xbox 360,,
Spyglass Board Games, DS,,
Stacked with Daniel Negreanu, DS,,
Star Trek: Conquest, PlayStation 4,,
Star Wars: Battle for Naboo, DS,,
Steambot Chronicles: Battle Tournament, PC,,
Strike Force Bowling, PlayStation 4,,
Stubbs the Zombie in Rebel Without a Pulse, PlayStation 3,,
Temple of Yog, Switch,,
The Chronicles of Narnia: Prince Caspian, Game Boy Advance,,
The Elder Scrolls V: Skyrim - Hearthfire, PC,,
The Golden Horde, Game Boy Advance,,
The Great Escape (2003), Game Boy Advance,,
The Great Perhaps, PlayStation 3,,
The Legend of Spyro: The Eternal Night, PlayStation 4,,
The Lord of the Rings: Conquest, PlayStation 4,,
The Padre, PC,,
The Political Machine 2012, PlayStation 4,,
The Tales of Bearsworth Manor: Chaotic Conflicts, PC,,
The Tomorrow Children, Wii U,,
Tom Clancy's Ghost Recon 2, PlayStation 4,,
Tom Clancy's Ghost Recon Predator, Xbox 360,,
Tom Clancy's Rainbow Six Critical Hour, Xbox 360,,
Top Gun: Hard Lock, PlayStation 2,,
Trials of the Blood Dragon, PlayStation 2,,
UFC: Sudden Impact, Xbox 360,,
Universal Combat, PlayStation 3,,
Valkyria Revolution, PC,,
Vancouver 2010 - The Official Video Game of the Olympic Winter Games, PlayStation 2,,
Virtual-On Marz, GameCube,,
Warriors: Legends of Troy, PlayStation 2,,
Werewolf: The Apocalypse - Earthblood, PlayStation 2,,
Whipseey and the Lost Atlas, Xbox 360,,
