Name,Platform,Sources,Scores
Red Steel, Wii,"Official Nintendo Magazine UK,Nintendo Gamer,Play Magazine,Computer and Video Games,Nintendo Power,PALGN,Console Gameworld,Games Master UK,GameZone,eToychest,GameTrailers,Cheat Code Central,Game Informer,VGPub,N-Insanity,Pelit (Finland),GamerNode,GameBrink,Worth Playing,Gamestyle,Thunderbolt,The New York Times,My Gamer,Da Gameboyz,GamePro,Extreme Gamer,AtomicGamer,Gaming Nexus,IGN,G4 TV,GamesRadar+,NintendoWorldReport,Eurogamer,Digital Entertainment News,Boomtown,Nintendic,AceGamez,Nintendojo,GameSpot,Kombo,Electronic Gaming Monthly,1UP,Deeko,Edge Magazine,WHAM! Gaming,GameShark,games(TM),Gaming Age,GameCritics,Armchair Empire,Yahoo!,GameSpy,VideoGamer,Game Revolution","91,90,85,80,80,80,79,79,79,78,78,76,75,75,72,71,71,70,70,70,70,69,68,67,65,65,65,63,60,60,60,60,60,60,60,60,60,59,55,55,52,50,50,50,50,50,50,50,50,45,40,40,40,25"
SBK: Snowboard Kids, DS,"GameBrink,Nintendo Power,My Gamer,games(TM),Games Master UK,GameSpot,NintendoWorldReport,IGN,GameSpy,Game Informer,Thunderbolt,G4 TV,Eurogamer,NTSC-uk","80,75,70,70,68,67,65,62,60,60,60,40,40,40"
SOCOM: U.S. Navy SEALs Confrontation, PlayStation 3,"Pelit (Finland),GameFocus,PSX Extreme,TotalPlayStation,Boomtown,DailyGame,Impulsegamer,NZGamer,PSM3 Magazine UK,PlayStation Universe,GameTrailers,GameShark,Kombo,Cheat Code Central,GamingXP,GamingTrend,Games Master UK,Vandal,Gamervision,Da Gameboyz,GamePro,Worth Playing,Playstation Official Magazine UK,Playstation: The Official Magazine (US),PSW Magazine UK,D+PAD Magazine,PS3bloggen.se,Eurogamer Portugal,SpazioGames,LEVEL (Czech Republic),Cynamite,XGN,Gaming Age,GameSpot,GameZone,Gameplanet,Console Monster,Extreme Gamer,3DJuegos,Game Informer,DarkStation,GamesRadar+,Thunderbolt,VideoGamer,WonderwallWeb,Play.tm,Playstation Official Magazine Australia,1UP,Multiplayer.it,Game Chronicles,Meristation,Play UK,GameDaily,Edge Magazine,Eurogamer,Level7.nu,PALGN,AceGamez,IGN,G4 TV,Destructoid,Metro GameCentral,Gamer.nl,Game Revolution","84,81,80,80,80,79,79,78,76,75,75,75,75,74,74,73,73,72,70,70,70,70,70,70,70,70,70,70,70,70,70,70,67,65,65,65,65,64,63,60,60,60,60,60,60,60,60,58,58,56,55,55,50,50,50,50,50,50,45,40,40,40,40,33"
Fallout: New Vegas - Lonesome Road," Xbox 360, PlayStation 3","GameCritics,GameWatcher,Gamer Limit,Gamereactor Sweden,XGN,Level7.nu,IncGamers,Gaming Nexus,GameSpot,IGN,Thunderbolt,AtomicGamer,SpazioGames,Eurogamer Italy,Eurogamer,Xbox World 360 Magazine UK,","85,80,75,70,70,70,70,67,65,65,60,60,52,50,50,49,"
Fatal Fury Special, Xbox 360,"TeamXbox,Eurogamer,Official Xbox Magazine UK,X-ONE Magazine UK,IGN,GameSpot,GameZone,My Gamer,Official Xbox Magazine,Digital Entertainment News,Xbox World 360 Magazine UK,GamingExcellence","90,70,70,70,67,65,61,58,55,50,40,35"
Blue Dragon: Awakened Shadow, DS,"IGN,ZTGD,Eurogamer Italy,Cynamite,RPG Fan,3DJuegos,GamingXP,Nintendo Power,Official Nintendo Magazine UK,Vandal,GamesRadar+,Worth Playing,PALGN,GameSpot,The A.V. Club,GameShark,Gamereactor Sweden,Gamer.nl,Gamekult,Gameblog.fr,GameZone,Cheat Code Central,Nintendo Life,RPGamer,Eurogamer,VideoGamer,Metro GameCentral","80,80,80,80,80,76,75,75,73,72,70,70,70,70,67,67,60,60,60,60,55,54,50,40,40,40,30"
State of Mind, Switch,"Video Chums,Jeuxvideo.com,Nintenderos,FNintendo,NintendoWorldReport,Nintendo Life,Pocket Gamer UK","78,75,62,60,60,60,50"
Lost in Harmony, Switch,"GamingTrend,Nintendojo,God is a Geek,GameCritics,DarkStation,Nintenderos,Universo Nintendo,FNintendo,Digitally Downloaded,NintendoWorldReport,CGMagazine,Nintendo Enthusiast,Worth Playing,Gaming Age,COGconnected","80,75,75,70,70,65,60,60,60,60,60,60,55,50,50"
Unbox: Newbie's Adventure," PlayStation 4, Switch","GameSpew,Video Chums,TheSixthAxis,App Trigger,DualShockers,COGconnected,PlaySense,PlayStation Country,NintendoWorldReport,Vooks,IGN Spain,Nintendo Life,Cubed3,Switch Player,Digitally Downloaded","90,80,70,65,65,50,45,40,60,60,60,60,50,46,20"
Radiohammer, 3DS,"Brash Games,Nintendo Life,IGN Spain,FNintendo,Digital Chumps,Hardcore Gamer,Cubed3,Digitally Downloaded","80,80,65,60,60,60,50,50"
Dead Man's Hand," PC, Xbox","Times Online,Computer Games Online RO,PC Gamer,Thunderbolt,3DAvenue,GameSpot,GameShark,GameSpot AU,GameBiz,IGN,Maxim Online,Computer Games Magazine,Computer and Video Games,GameCritics,Computer Gaming World,","80,79,75,70,68,66,65,65,65,62,60,60,56,45,40,"
Clive Barker's Jericho," Xbox 360, PC, PlayStation 3","Deeko,GamePro,Planet Xbox 360,GameZone,Play Magazine,GameTap,MS Xbox World,X-ONE Magazine UK,TeamXbox,GamerNode,Official Xbox Magazine,Xbox World 360 Magazine UK,Jolt Online Gaming UK,AtomicGamer,IC-Games,Official Xbox Magazine UK,Eurogamer,Play.tm,Extreme Gamer,GameSpot,Xbox World Australia,Game Chronicles,Console Monster,Da Gameboyz,Worth Playing,Game Informer,360 Gamer Magazine UK,GameSpy,Cheat Code Central,VideoGamer,AceGamez,NZGamer,GameTrailers,IGN,Talk Xbox,Gamer 2.0,GameDaily,Edge Magazine,Kombo,Boomtown,NTSC-uk,Game Revolution,GameShark,Electronic Gaming Monthly,G4 TV,1UP,,Play UK,Play Magazine,GameTap,Playstation: The Official Magazine (US),GameZone,Jolt Online Gaming UK,PSW Magazine UK,IC-Games,Extreme Gamer,GamerNode,GameSpot,PSM3 Magazine UK,Games Master UK,Game Chronicles,Pelit (Finland),Game Informer,Total Video Games,Cheat Code Central,VideoGamer,TotalPlayStation,GameTrailers,PSX Extreme,IGN,Gamer 2.0,PALGN,games(TM),Playstation Official Magazine UK,AceGamez,Video Game Talk,Game Revolution,Electronic Gaming Monthly,G4 TV,Gamestyle,1UP","90,90,83,80,80,80,80,80,78,75,75,72,72,71,71,70,70,70,65,65,65,64,64,63,62,60,60,60,60,60,60,60,59,56,56,53,50,50,50,50,50,42,42,40,40,30,,84,80,80,80,78,72,70,70,65,65,65,65,64,63,60,60,60,60,60,60,59,58,56,53,50,50,50,50,50,42,40,40,40,30"
Skully," PlayStation 4, Switch, PC","TheGamer,IGN Italia,GamingTrend,PlayStation Country,Vandal,PlayStation Universe,The Digital Fix,SpazioGames,BaziCenter,Softpedia,TheSixthAxis,Hardcore Gamer,Player 2,DarkStation,PlayStation LifeStyle,Push Square,Wccftech,Finger Guns,XGN,Impulsegamer,Vooks,Everyeye.it,NintendoWorldReport,Starbit,Switch Player,Cultured Vultures,Nintendo Life,God is a Geek,Digitally Downloaded,Gamer Escape,Hooked Gamers,GameWatcher,The Games Machine,Impulsegamer,PC Invasion,Screen Rant,Worth Playing,3DJuegos,CD-Action,Malditos Nerds,GameSpot,GameGrin,Game Rant","90,77,75,70,70,70,70,68,60,60,60,60,58,50,50,50,35,80,70,70,70,68,65,60,60,60,60,50,50,30,89,80,75,70,70,70,65,60,50,50,50,45,30"
The Station," Xbox One, PlayStation 4","MondoXbox,AusGamers,COGconnected,Game Informer,Generación Xbox,Jeuxvideo.com,XBLA Fans,Windows Central,ZTGD,TrueAchievements,Xbox Tavern,VideoGamer,TheXboxHub,XboxAddict,PlayStation LifeStyle,Cubed3,Playstation Official Magazine UK,Digitally Downloaded,Gameplanet,DarkStation,TheSixthAxis,4Players.de,Jeuxvideo.com,God is a Geek,Push Square,Wccftech,GameCritics,PlayStation Country,New Game Network,PlaySense,PlayStation Universe","85,70,70,65,63,60,60,60,60,60,60,60,60,50,80,70,70,70,70,70,70,65,60,60,60,59,55,50,46,45,40"
Scrap Metal, Xbox 360,"Worth Playing,Totally360,Kombo,Gaming Target,TeamXbox,ZTGD,IGN,1UP,GameZone,MS Xbox World,Vandal,Multiplayer.it,Game Informer,GamingXP,Cheat Code Central,Game Over Online,Gamer.no,Gamer.nl,Gamereactor Denmark,Official Xbox Magazine,GameFocus,GameSpot,Gamereactor Sweden,Thunderbolt,Official Xbox Magazine UK,Game Revolution,9Lives,Games Master UK,D+PAD Magazine,RealGamer,Metro GameCentral,Eurogamer,Boomtown,X-ONE Magazine UK,Xbox World 360 Magazine UK","80,80,80,78,77,77,75,75,75,75,75,75,73,73,70,70,70,70,70,70,67,65,60,60,60,58,55,55,50,50,40,40,40,40,40"
