Name,Platform,Sources,Scores
Genital Jousting, PC,"CGMagazine,GameSpew,SpazioGames,Destructoid,CD-Action,App Trigger,Everyeye.it,Gamer.nl,GameStar,Meristation,IGN Spain,Hardcore Gamer,Multiplayer.it,The Overpowered Noobs,We Got This Covered","95,80,75,75,70,70,70,70,66,65,60,60,55,50,50"
Armored Core V," Xbox 360, PlayStation 3","Vandal,Gameplanet,Telegraph,Game Revolution,Official Xbox Magazine,Edge Magazine,MondoXbox,GamingTrend,GamingXP,Worth Playing,IGN,Game Chronicles,UGO,Gaming Age,XboxAddict,Xbox Achievements,Totally360,DarkZero,ZTGD,GameTrailers,GamesRadar+,Gaming Nexus,Armchair Empire,Planet Xbox 360,GameWatcher,Game Informer,GameFocus,CD-Action,Console Monster,Meristation,Machinima,GameSpot,Official Xbox Magazine UK,X-ONE Magazine UK,Gamereactor Sweden,G4 TV,Destructoid,Pelit (Finland),Eurogamer,IGN,SpazioGames,Official PlayStation Magazine Benelux,Hyper Magazine,MEGamers,DarkStation,Eurogamer Italy,Digital Chumps,Metro GameCentral,Multiplayer.it,PlayStation LifeStyle,TotalPlayStation,Game Informer,Games Master UK,Cheat Code Central,JeuxActu,Play UK,Playstation: The Official Magazine (US),Gameblog.fr,GameSpot,4Players.de,PSM3 Magazine UK,Playstation Official Magazine Australia,Playstation Official Magazine UK","85,80,80,80,80,80,78,78,77,75,75,75,75,75,73,70,70,70,70,70,70,67,65,65,65,65,60,60,60,60,60,60,60,50,40,40,35,85,80,75,75,73,70,70,70,70,70,70,68,65,65,65,64,62,60,60,60,60,60,55,50,50,40"
The Witcher Adventure Game, PC,"Pelit (Finland),Vandal,Digital Chumps,GameFront,COGconnected,GameStar,IGN Italia,CD-Action,GameOver.gr,Games.cz,Softpedia,3DJuegos,Meristation,IGN,GamingTrend,SpazioGames,Multiplayer.it,4Players.de,Riot Pixels,Hardcore Gamer,Game World Navigator Magazine","82,80,76,75,73,73,72,70,70,70,70,70,70,69,65,65,60,60,55,50,40"
Schizoid, Xbox 360,"Worth Playing,TeamXbox,Games Master UK,Official Xbox Magazine,GamePro,My Gamer,Planet Xbox 360,IGN,Eurogamer,WonderwallWeb,GameSpot,Console Gameworld,Gamer.nl,Official Xbox Magazine UK,X-ONE Magazine UK,Console Monster,PALGN,Edge Magazine,1UP,Xbox World 360 Magazine UK","82,81,81,80,80,80,79,78,70,70,70,70,70,60,60,55,55,50,42,40"
FLOCK!, Xbox 360,"TeamXbox,Games Master UK,Gameplanet,Cheat Code Central,Official Xbox Magazine,AceGamez,GameFocus,Gaming Nexus,3DJuegos,Game Over Online,NZGamer,GamerNode,GameSpot,ZTGD,Console Monster,GamingTrend,IGN,GamingExcellence,Gamers' Temple,Worth Playing,GamePro,PALGN,VideoGamer,Edge Magazine,X-ONE Magazine UK,Gaming Age,Game Revolution,Eurogamer,Gamer.nl,Xbox World 360 Magazine UK","90,85,85,82,80,80,76,75,75,75,74,70,70,70,70,70,69,68,68,66,65,65,60,60,60,58,58,50,50,40"
Mafia III," PlayStation 4, Xbox One","Digitally Downloaded,Everyeye.it,Gaming Age,Hobby Consolas,games(TM),Washington Post,Giant Bomb,NZGamer,LaPS4,Vandal,Twinfinite,Eurogamer Italy,Hardcore Gamer,Multiplayer.it,IGN Sweden,GamingTrend,COGconnected,IGN Spain,IGN,SpazioGames,PlayStation LifeStyle,Atomix,Worth Playing,IGN Italia,CD-Action,DarkStation,Impulsegamer,Gameplanet,God is a Geek,IGN Denmark,GamesRadar+,TheSixthAxis,3DJuegos,Eurogamer Poland,Gamer.nl,JeuxActu,Critical Hit,Cheat Code Central,PlaySense,Games Master UK,Game Informer,InsideGamer.nl,GameGrin,Kill Screen,Arcade Sushi,The Jimquisition,EGM,GameCritics,Edge Magazine,New York Daily News,Playstation Official Magazine Australia,Playstation Official Magazine UK,GRYOnline.pl,Yahoo!,M3,Push Square,GameSpot,Gamer.no,CGMagazine,Areajugones,Easy Allies,The Digital Fix,Destructoid,IBTimes UK,Time,Metro GameCentral,Gameblog.fr,Forbes,MondoXbox,Xbox Achievements,GamesBeat,IGN,XboxAddict,Official Xbox Magazine UK,Windows Central,ZTGD,XGN,Game Informer,LevelUp,Stevivor,Post Arcade (National Post),Let's Play Video Games,High-Def Digest,GameSpew,4Players.de,GameSpot,GameOver.gr,We Got This Covered","90,85,83,82,80,80,80,80,80,80,80,80,80,78,77,75,75,75,75,75,75,73,71,71,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,68,67,65,65,65,65,65,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,81,78,77,75,75,71,70,70,70,70,68,65,65,65,60,60,60,60,60,50,40"
Strikers Edge, PlayStation 4,"Gaming Nexus,GameCritics,PSX Extreme,Digital Chumps,GameGrin,God is a Geek,TheSixthAxis,Vandal,CGMagazine,PlayStation LifeStyle,IGN Spain,DarkStation,PlayStation Country,Push Square,Video Chums","80,75,75,73,70,70,70,70,65,65,63,60,60,60,58"
TouchMaster 3, DS,"Nintendojo,IGN,Worth Playing,GamingXP,SpazioGames,Gaming Nexus,Game Revolution","80,79,73,70,66,50,50"
Squad Assault: West Front, PC,,
WWE Raw 2, Xbox,"XboxAddict,IGN,Game Chronicles,Next Level Gaming,GameZone,TeamXbox,Armchair Empire,GameShark,Cheat Code Central,Gamer's Pulse,Game Informer,GameSpot,Official Xbox Magazine,GamingTrend,Operation Sports,Playboy,GameSpy,GamePro,G4 TV,Play Magazine,GMR Magazine,TotalGames.net,eToychest,Gaming Age,Electronic Gaming Monthly,Xbox Nation Magazine","96,91,90,90,89,88,82,80,80,78,73,69,68,68,65,63,60,60,60,58,50,50,50,50,43,40"
