name,platform,sources,scores
Mario vs. Donkey Kong: Mini-Land Mayhem, DS,"Gaming Target,Cubed3,Official Nintendo Magazine UK,Hardcore Gamer,Nintendo Life,IGN,Multiplayer.it,GameFocus,3DJuegos,PALGN,SpazioGames,Meristation,Armchair Empire,Nintendo Gamer,Game Informer,Game Revolution,GamingXP,Vandal,N-Europe,Eurogamer Italy,Everyeye.it,Guardian,Telegraph,Gamereactor Denmark,Gamereactor Sweden,VideoGamer,NintendoWorldReport,Digital Chumps,Metro GameCentral,Joystiq,Eurogamer,GameSpot,GameTrailers,Games Master UK,Cheat Code Central,Nintendo Power,Worth Playing,GameZone,games(TM),Eurogamer Portugal,Gamer.nl,Eurogamer Sweden,Level7.nu,Gamekult,Edge Magazine,Da Gameboyz,Destructoid,GamesRadar+,Play.tm,Gameblog.fr,GamePro","96,90,90,90,90,90,88,88,86,85,85,85,85,83,83,83,82,81,80,80,80,80,80,80,80,80,80,80,80,80,80,80,79,78,76,75,75,75,70,70,70,70,70,70,70,70,70,70,60,60,60"
Sam & Max Episode 203: Night of the Raving Dead, PC,"AceGamez,Just Adventure,Cheat Code Central,GamesRadar+,GameTap,Armchair Empire,PC Gamer,Pelit (Finland),GameWatcher,Gamers' Temple,Jolt Online Gaming UK,GameDaily,Adventure Gamers,Quandary,My Gamer,GamerNode,Gamervision,PC Zone UK,Gaming Nexus,Eurogamer,GameZone,PC PowerPlay,IGN,PC Format,PC Gamer UK,GameSpy","100,100,92,90,90,90,88,88,87,87,81,80,80,80,80,80,80,75,75,70,70,70,68,64,62,60"
Metroid Prime Pinball, DS,"Nintendo Power,Cincinnati Enquirer,Nintendojo,Play Magazine,Deeko,BonusStage,eToychest,N-Insanity,1UP,NintendoWorldReport,DailyGame,GameZone,PALGN,Gaming Nexus,GameBrink,Da Gameboyz,GameSpot,Pelit (Finland),Jolt Online Gaming UK,Game Informer,IGN,Modojo,GamerFeed,GameSpy,Yahoo!,Cheat Code Central,G4 TV,DarkStation,3DAvenue,GamesRadar+,NTSC-uk,Official Nintendo Magazine UK,VideoGamer,Nintendo Gamer,Thunderbolt,Electronic Gaming Monthly,Nintendophiles,Detroit Free Press,My Gamer,Games Master UK,GamePro,N-Europe,The Sydney Morning Herald,Boomtown,Pocket Gamer UK,GamerNode,Game Revolution,Gaming Age,VGPub,Gamestyle,Eurogamer","95,95,92,90,90,89,88,86,85,85,85,85,85,85,84,83,82,82,81,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,75,75,75,74,74,70,70,70,70,70,70,67,67,65,50,40"
Mega Man & Bass, Game Boy Advance,"Gaming Age,GameNow,GameZone,IGN,Electronic Gaming Monthly,Nintendojo,Game Informer,Nintendo Power,Pocket Games,GamePro,Play Magazine,Nintendophiles,GameSpot,Gamezilla!,Thunderbolt,All Game Guide,Cheat Code Central,GameSpy","91,91,90,85,85,84,80,80,80,80,80,75,72,72,70,70,70,60"
Alien Hominid HD, Xbox 360,"TeamXbox,ZTGD,GameSpot,IGN,GamerNode,Gaming Target,Game Chronicles,Eurogamer,GamesRadar+,Xbox World Australia,G4 TV,Game Almighty,360 Gamer Magazine UK,Digital Entertainment News,Official Xbox Magazine,Planet Xbox 360,VGPub,Official Xbox Magazine UK,X-ONE Magazine UK,Hardcore Gamer,PALGN,Gamestyle","93,90,85,85,85,82,81,80,80,80,80,80,80,80,75,75,75,70,70,70,70,50"
F.E.A.R. 2: Project Origin, PlayStation 3,"1UP,VideoGamer,Cynamite,GameFocus,TotalPlayStation,GamingXP,Pelit (Finland),Play UK,WonderwallWeb,NZGamer,IGN AU,IGN UK,GameZone,Cheat Code Central,ZTGD,Game Informer,Extreme Gamer,IGN,GamePro,Playstation: The Official Magazine (US),GameDaily,Vandal,G4 TV,InsideGamer.nl,Gamervision,PSM3 Magazine UK,Playstation Official Magazine UK,DailyGame,Eurogamer Portugal,GamingExcellence,3DJuegos,SpazioGames,PSX Extreme,Computer and Video Games,PlayStation Universe,Hardcore Gamer,Game Over Online,Gaming Nexus,GameSpot,D+PAD Magazine,PALGN,Playstation Official Magazine Australia,Gamer 2.0,Total Video Games,DarkZero,PS3bloggen.se,Game Revolution,GameShark","91,90,90,90,90,89,87,87,87,87,86,85,85,84,84,83,83,81,80,80,80,80,80,80,80,80,80,80,80,79,78,78,77,75,75,75,75,75,70,70,70,70,68,60,60,60,58,50"
Black, PlayStation 2,"Official Playstation 2 Magazine UK,Stuff,BonusStage,PGNx Media,TotalPlayStation,PSW Magazine UK,Play.tm,Gamenikki,Play UK,Games Radar,Game Chronicles,IGN,Pelit (Finland),Console Gameworld,Game Informer,Cheat Code Central,GameZone,Gaming Age,WHAM! Gaming,GameBrink,Game Over Online,GameBiz,IncGamers,Gaming Target,Boomtown,Times Online,Official U.S. Playstation Magazine,Edge Magazine,Eurogamer,Total Video Games,GamePro,GameSpy,games(TM),The Sydney Morning Herald,GamesRadar+,PSM Magazine,Yahoo!,Next Level Gaming,AceGamez,GamingTrend,Armchair Empire,Gamer 2.0,DailyGame,Worth Playing,Play Magazine,Gaming Nexus,eToychest,GameShark,GameSpot,PSX Extreme,Thunderbolt,1UP,GamerFeed,ZTGD,Jolt Online Gaming UK,Electronic Gaming Monthly,Gaming Horizon,netjak,G4 TV,The A.V. Club,Game Revolution,Computer Games Magazine","100,100,95,92,90,90,90,90,89,89,88,87,87,86,85,84,84,83,82,82,82,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,79,78,77,75,75,75,75,75,75,74,70,70,70,70,70,69,68,66,65,60,58,58,40"
FlatOut: Ultimate Carnage, PC,"Cheat Code Central,Pelit (Finland),GameStar,Computer Games Online RO,Gamers.at,PC Gamer UK,PC Zone UK,VideoGamer,Play (Poland),PC Format,IGN,GamingXP,Eurogamer,LEVEL (Czech Republic),Gamer.nl,Gameplanet","92,87,86,85,83,82,81,80,80,78,78,75,70,70,60,55"
Ghostbusters: The Video Game, Xbox 360,"GamingTrend,Gaming Age,Gamer Limit,My Gamer,GameFocus,AtomicGamer,Xbox Achievements,Play Magazine,GameZone,GamerNode,Games Master UK,DailyGame,Game Revolution,1UP,Gaming Nexus,Extreme Gamer,Da Gameboyz,GamesNation,XboxAddict,ActionTrip,ZTGD,TeamXbox,Planet Xbox 360,Official Xbox Magazine,IGN,Game Informer,GameDaily,GamePro,GameSpy,Totally360,Gamervision,GamesRadar+,Cynamite,Official Xbox Magazine UK,MondoXbox,Pelit (Finland),Cheat Code Central,GameTrailers,GameSpot,Gamer's Hell,GameShark,Destructoid,Meristation,NZGamer,Total Video Games,Worth Playing,Xbox World 360 Magazine UK,X-ONE Magazine UK,VideoGamer,Eurogamer Portugal,Metro GameCentral,The A.V. Club,Giant Bomb","92,91,90,88,88,87,87,85,85,85,85,84,83,83,83,83,83,82,82,82,82,81,81,80,80,80,80,80,80,80,80,80,80,80,80,80,78,76,75,75,75,75,75,70,70,70,70,70,70,70,70,67,60"
Murder by Numbers, PC,"ZTGD,DarkStation,God is a Geek,GameSpew,Noisy Pixel,New Game Network,RPG Fan,GameMAG,Multiplayer.it,IGN,Shacknews,PC Invasion,PCWorld,Slant Magazine,Meristation,PC Gamer,USgamer,Hardcore Gamer,Adventure Gamers","95,90,90,90,85,82,81,80,80,80,80,80,80,80,75,71,70,70,60"
